Subject_ID,Mean_Reward_Learning_Rate,Median_Reward_Learning_Rate
1,0.40728039629868756,0.39611509126863476
2,0.29986702574156576,0.27066929097798836
3,0.478455855425865,0.469441115563803
4,0.6091878703642207,0.6058050366723313
5,0.4775632103865129,0.4666393323243361
6,0.6392138305852002,0.6377706110546062
7,0.6738365406059045,0.679031399066627
8,0.41754679221256263,0.40509544741693526
9,0.3962663643555917,0.38552988885410655
10,0.5084908495977736,0.5017406100524366
11,0.3017330858951148,0.28185557257860727
12,0.33684222385212714,0.31174887502219106
13,0.5581610209126822,0.550872866306598
14,0.29490637476145054,0.27295670029359487
