Subject_ID,Mean_Punishment_Learning_Rate,Median_Punsihment_Learning_Rate
1,0.6239106994047292,0.6287851712374148
2,0.6341515969565883,0.6412884060147466
3,0.6757855983798249,0.6796612207257284
4,0.7155902394019755,0.7161115767516587
5,0.7728712054768921,0.7757170651409255
6,0.6596351545206891,0.6626198067864428
7,0.6304367680099411,0.6342852576216683
8,0.6400158782565124,0.6503900475632506
9,0.6177323144789592,0.6223209764135611
10,0.6061396240354215,0.611040729967712
11,0.5744525633190504,0.6021410359010748
12,0.6896924327376588,0.6926542167538261
13,0.812111497254478,0.8205160427611493
14,0.46482681828423356,0.4580963018615487
