Subject ID,Trial,Expected Value,Outcomes
3,1,0.5,0
3,2,0.5,1
3,3,0.479532702,0
3,4,0.515788462,1
3,5,0.53018099,1
3,6,0.460782288,0
3,7,0.543724307,1
3,8,0.556592675,1
3,9,0.56888347,0
3,10,0.544928863,0
3,11,0.44341474,0
3,12,0.523214444,0
3,13,0.503198128,0
3,14,0.484610584,1
3,15,0.500675615,1
3,16,0.515065537,1
3,17,0.528630197,1
3,18,0.541569575,0
3,19,0.427242064,0
3,20,0.520599995,0
3,21,0.501522924,1
3,22,0.51641779,1
3,23,0.412129578,0
3,24,0.529911905,1
3,25,0.542717877,1
3,26,0.554989009,1
3,27,0.397970008,0
3,28,0.566795088,1
3,29,0.384673584,0
3,30,0.372163229,1
3,31,0.578179512,1
3,32,0.589173991,0
3,33,0.392839591,0
3,34,0.566414875,1
3,35,0.578627658,1
3,36,0.589837818,1
3,37,0.600559222,1
3,38,0.610889133,0
3,39,0.379328666,0
3,40,0.587423064,0
3,41,0.367007317,0
3,42,0.566035676,0
3,43,0.546215413,1
3,44,0.559774615,1
3,45,0.571899228,0
3,46,0.55129553,0
3,47,0.532457369,1
3,48,0.546348645,1
3,49,0.558863791,1
3,50,0.570725474,0
3,51,0.355519728,0
3,52,0.34472334,0
3,53,0.334536044,0
3,54,0.55040726,1
3,55,0.563244451,1
3,56,0.575011527,1
3,57,0.586240338,0
3,58,0.565220151,1
3,59,0.577529193,1
3,60,0.588809339,1
3,61,0.599583819,1
3,62,0.609955397,0
3,63,0.587814561,1
3,64,0.599389101,1
3,65,0.609979654,0
3,66,0.588076933,0
3,67,0.568059512,1
3,68,0.580743913,1
3,69,0.592138201,1
3,70,0.602947186,0
3,71,0.581689725,1
3,72,0.593568771,0
3,73,0.573056552,1
3,74,0.58532849,1
3,75,0.596505614,1
3,76,0.607148974,1
3,77,0.617375458,0
3,78,0.595510049,1
3,79,0.606919605,1
3,80,0.324899265,0
3,81,0.617343396,1
3,82,0.627298766,0
3,83,0.605028233,1
3,84,0.616170415,1
3,85,0.62633413,0
3,86,0.315766223,1
3,87,0.337863489,0
3,88,0.327391711,0
3,89,0.604289806,0
3,90,0.584125175,1
3,91,0.596397233,1
3,92,0.607389829,1
3,93,0.617807987,0
3,94,0.596410738,1
3,95,0.607913642,1
3,96,0.618403442,1
3,97,0.628406662,0
3,98,0.606477772,1
3,99,0.617640027,1
3,100,0.62781573,1
3,101,0.637525369,1
3,102,0.646869333,0
3,103,0.623976993,1
3,104,0.634583121,1
3,105,0.644237522,0
3,106,0.621664645,1
3,107,0.632428394,1
3,108,0.64220864,0
3,109,0.619862376,0
3,110,0.59940582,1
3,111,0.611309057,1
3,112,0.621940236,0
3,113,0.600909877,1
3,114,0.612445921,1
3,115,0.622932075,1
3,116,0.632910777,0
3,117,0.611219564,1
3,118,0.622331323,1
3,119,0.63244921,1
5,1,0.5,1
5,2,0.74249126,1
5,3,0.820139337,1
5,4,0.862859584,1
5,5,0.890583944,1
5,6,0.91020389,1
5,7,0.924857763,0
5,8,0.890919936,0
5,9,0.859189203,1
5,10,0.90139874,0
5,11,0.869303222,0
5,12,0.839234258,1
5,13,0.888518112,1
5,14,0.911709934,1
5,15,0.927248117,1
5,16,0.5,0
5,17,0.938737907,1
5,18,0.947668703,0
5,19,0.913193187,1
5,20,0.936367693,1
5,21,0.947741747,1
5,22,0.955761402,1
5,23,0.961942656,1
5,24,0.966910526,1
5,25,0.971003409,1
5,26,0.974432202,1
5,27,0.977339991,0
5,28,0.941344013,0
5,29,0.907686049,1
5,30,0.941727587,0
5,31,0.481493872,0
5,32,0.908139299,1
5,33,0.936922062,1
5,34,0.950488753,1
5,35,0.959424359,1
5,36,0.464191997,0
5,37,0.965940956,1
5,38,0.970955694,0
5,39,0.935528807,1
5,40,0.955681053,0
5,41,0.921291599,1
5,42,0.946012787,1
5,43,0.957398577,0
5,44,0.922920425,0
5,45,0.890636677,1
5,46,0.929046489,1
5,47,0.945178346,1
5,48,0.955525233,0
5,49,0.921171403,1
5,50,0.944544975,0
5,51,0.910916439,1
5,52,0.937746483,1
5,53,0.950687992,1
5,54,0.959421766,1
5,55,0.965896633,0
5,56,0.930875291,1
5,57,0.951995039,1
5,58,0.961602035,1
5,59,0.968098793,1
5,60,0.97296217,0
5,61,0.937506912,1
5,62,0.95749309,1
5,63,0.966219803,0
5,64,0.931237131,0
5,65,0.898492593,1
5,66,0.935366314,1
5,67,0.950401158,1
5,68,0.959923339,0
5,69,0.925354072,1
5,70,0.948122766,1
5,71,0.958784017,1
5,72,0.965997329,1
5,73,0.971368649,1
5,74,0.975562032,0
5,75,0.939967983,1
5,76,0.959530312,1
5,77,0.967947546,1
5,78,0.97350723,1
5,79,0.977616049,0
5,80,0.941914149,1
5,81,0.961319775,1
5,82,0.969564236,0
5,83,0.934416187,1
5,84,0.95586156,1
5,85,0.965386163,0
5,86,0.930519311,0
5,87,0.897877375,1
5,88,0.935154634,1
5,89,0.950436974,1
5,90,0.960113924,0
5,91,0.925572469,1
5,92,0.948428449,1
5,93,0.959142131,1
5,94,0.447984481,0
5,95,0.966384798,1
5,96,0.971769955,1
5,97,0.975966656,1
5,98,0.979332756,1
5,99,0.982086658,0
5,100,0.946096104,1
5,101,0.964647042,1
5,102,0.972277361,0
5,103,0.936965475,1
5,104,0.957981628,1
5,105,0.967174638,0
5,106,0.932207439,0
5,107,0.899473376,1
5,108,0.432774415,0
5,109,0.936520356,1
5,110,0.951616797,0
5,111,0.917656236,1
5,112,0.942959142,1
5,113,0.955116812,1
5,114,0.963305631,0
5,115,0.928555022,1
5,116,0.950610204,1
5,117,0.960812006,1
5,118,0.967704439,1
5,119,0.972838148,1
5,120,0.976847717,1
5,121,0.980070613,1
5,122,0.982712453,0
5,123,0.946687547,0
5,124,0.912993963,1
5,125,0.946726191,1
5,126,0.959624657,1
5,127,0.967584873,1
5,128,0.973198725,1
5,129,0.977427545,0
5,130,0.941770764,1
5,131,0.961276258,0
5,132,0.926699966,0
5,133,0.894320969,0
5,134,0.863942883,1
5,135,0.917035889,1
5,136,0.937856325,1
5,137,0.950664284,1
5,138,0.95962019,1
5,139,0.966301593,1
5,140,0.971487512,1
5,141,0.975622202,1
5,142,0.978983598,0
5,143,0.943190378,0
5,144,0.909709374,1
5,145,0.943945878,1
5,146,0.957254039,1
5,147,0.965550841,1
5,148,0.971443867,1
5,149,0.975906161,0
5,150,0.940335445,1
5,151,0.960025705,0
5,152,0.925518119,0
5,153,0.893202875,0
5,154,0.862884037,1
5,155,0.9161082,1
5,156,0.937040694,1
5,157,0.949944888,1
6,1,0.5,1
6,2,0.66302329,1
6,3,0.764440478,1
6,4,0.830473664,1
6,5,0.875057559,1
6,6,0.906068484,1
6,7,0.928181493,0
6,8,0.905424509,1
6,9,0.929351842,0
6,10,0.906832187,0
6,11,0.885239201,1
6,12,0.917078797,1
6,13,0.938364908,1
6,14,0.953152269,0
6,15,0.9301391,1
6,16,0.948593271,1
6,17,0.961175959,1
6,18,0.970070075,1
6,19,0.976537707,1
6,20,0.981349973,1
6,21,0.984999139,1
6,22,0.987810893,1
6,23,0.990007218,0
6,24,0.965927159,0
6,25,0.942840443,1
6,26,0.960528663,0
6,27,0.937663573,0
6,28,0.915728968,1
6,29,0.942105912,1
6,30,0.958850059,1
6,31,0.96993478,1
6,32,0.97752701,0
6,33,0.953993473,1
6,34,0.967335916,0
6,35,0.944227323,1
6,36,0.960840338,0
6,37,0.937997342,1
6,38,0.956563059,1
6,39,0.968629292,0
6,40,0.945472952,0
6,41,0.923262741,1
6,42,0.946831086,1
6,43,0.961965056,1
6,44,0.972083344,0
6,45,0.94879012,1
6,46,0.963700852,0
6,47,0.940753823,1
6,48,0.958371381,1
6,49,0.969862491,1
6,50,0.97765024,1
6,51,0.983092992,0
6,52,0.959376955,1
6,53,0.971325316,1
6,54,0.979122869,1
6,55,0.984421795,0
6,56,0.96066592,1
6,57,0.972436174,1
6,58,0.980060739,0
6,59,0.956486724,1
6,60,0.969623695,1
6,61,0.978119318,1
6,62,0.983837345,0
6,63,0.960113273,1
6,64,0.97212726,1
6,65,0.979901513,1
6,66,0.985139018,1
6,67,0.988782855,1
6,68,0.991385672,0
6,69,0.967368283,1
6,70,0.977393069,1
6,71,0.98380288,1
6,72,0.988080756,1
6,73,0.991035055,0
6,74,0.96703799,1
6,75,0.977250942,1
6,76,0.983766304,0
6,77,0.960064411,1
6,78,0.972422059,1
6,79,0.980337047,0
6,80,0.956769587,0
6,81,0.934167771,1
6,82,0.955076666,1
6,83,0.968315774,1
6,84,0.977052026,0
6,85,0.953601872,1
6,86,0.967520109,1
6,87,0.976582201,0
6,88,0.953151237,1
6,89,0.5,1
6,90,0.967231272,1
6,91,0.976383894,1
6,92,0.982566844,0
6,93,0.958895461,1
6,94,0.971229499,1
6,95,0.979235963,0
6,96,0.955701938,1
6,97,0.969089842,0
6,98,0.945967531,0
6,99,0.923788376,1
6,100,0.947817424,1
6,101,0.963086687,1
6,102,0.973194524,0
6,103,0.949886598,1
6,104,0.964723391,1
6,105,0.974442034,0
6,106,0.951086847,1
6,107,0.965628429,1
7,1,0.5,1
7,2,0.5,1
7,3,0.544212824,1
7,4,0.583391561,1
7,5,0.618280702,1
7,6,0.649480923,1
7,7,0.677485267,1
7,8,0.702703752,0
7,9,0.679784578,1
7,10,0.544212824,1
7,11,0.583391561,0
7,12,0.564684405,1
7,13,0.601757901,1
7,14,0.705270805,1
7,15,0.728192576,1
7,16,0.748882098,0
7,17,0.724918977,1
7,18,0.746463338,1
7,19,0.765856095,1
7,20,0.783378775,1
7,21,0.634808959,0
7,22,0.799263167,1
7,23,0.813703364,1
7,24,0.826863925,1
7,25,0.838885703,0
7,26,0.81221842,0
7,27,0.787252219,1
7,28,0.804213638,1
7,29,0.819378439,1
7,30,0.833009473,1
7,31,0.614615057,0
7,32,0.595712119,0
7,33,0.845315475,0
7,34,0.819247903,1
7,35,0.833400157,0
7,36,0.808265161,0
7,37,0.784652525,1
7,38,0.802878208,1
7,39,0.819037073,1
7,40,0.833449622,0
7,41,0.808668971,1
7,42,0.824423679,0
7,43,0.800302214,1
7,44,0.817092002,1
7,45,0.832014228,1
7,46,0.845347981,0
7,47,0.820284909,1
7,48,0.835126402,1
7,49,0.848356335,0
7,50,0.577971021,1
7,51,0.823320285,1
7,52,0.838037455,1
7,53,0.851139834,0
7,54,0.826111266,1
7,55,0.840697116,1
7,56,0.853671272,1
7,57,0.614159139,0
7,58,0.865272101,0
7,59,0.839638744,1
7,60,0.852993026,1
7,61,0.864884475,1
7,62,0.875527605,1
7,63,0.885094466,1
7,64,0.893725873,1
7,65,0.90153882,0
7,66,0.874238445,0
7,67,0.848630127,1
