Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_p2_t1_s1_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[8698.32611066],[0],3,[1],0,0.7859896510217368
VTA_p2_t1_s1_ses1,trial_2_neu_2_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[8708.32578719],[0],3,[2],0,0.94930289027252
VTA_p2_t1_s1_ses1,trial_3_rew_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[8720.84219765],[0],1,[1],1,1.312307211026564
VTA_p2_t1_s1_ses1,trial_4_neu_3_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[8730.84195856],[0],3,[2],0,1.6060089912134572
VTA_p2_t1_s1_ses1,trial_5_neu_4_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[8740.84174418],[0],3,[1],0,0.9042955141630955
VTA_p2_t1_s1_ses1,trial_6_los_1_f2_f1_acum_r1_l0_task_1_sess_1,Picture,[8750.84154233],[0],2,[1],-1,1.0721722098041937
VTA_p2_t1_s1_ses1,trial_7_rew_2_f2_f1_acum_r1_l1_task_1_sess_1,Picture,[8760.84132111],[0],1,[2],1,1.3128146629660478
VTA_p2_t1_s1_ses1,trial_8_los_2_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[8777.12438654],[0],2,[2],0,1.4148508946545917
VTA_p2_t1_s1_ses1,trial_9_los_3_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[8789.64072289],[0],2,[1],-1,1.0655282004536275
VTA_p2_t1_s1_ses1,trial_10_los_4_f2_f1_acum_r2_l2_task_1_sess_1,Picture,[8802.17378766],[0],2,[1],0,1.3927410045107536
VTA_p2_t1_s1_ses1,trial_11_los_5_f1_f2_acum_r2_l2_task_1_sess_1,Picture,[8815.94019441],[0],2,[1],0,1.40632969323633
VTA_p2_t1_s1_ses1,trial_12_rew_3_f1_f2_acum_r2_l2_task_1_sess_1,Picture,[8825.93994354],[0],1,[1],1,1.5586114594425453
VTA_p2_t1_s1_ses1,trial_13_neu_5_f2_f1_acum_r3_l2_task_1_sess_1,Picture,[8838.47305088],[0],3,[2],0,1.7612301775388914
VTA_p2_t1_s1_ses1,trial_14_los_6_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[8848.45610351],[0],2,[2],0,1.7895678524055256
VTA_p2_t1_s1_ses1,trial_15_los_7_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[8859.72257697],[0],2,[1],0,1.3499745893914223
VTA_p2_t1_s1_ses1,trial_16_rew_4_f2_f1_acum_r3_l2_task_1_sess_1,Picture,[8874.73887435],[0],1,[2],1,1.3938794453824812
VTA_p2_t1_s1_ses1,trial_17_neu_6_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[8888.5052488],[0],3,[2],0,1.1009797053429793
VTA_p2_t1_s1_ses1,trial_18_rew_5_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[8903.5216127],[0],1,[1],1,1.2882423955379636
VTA_p2_t1_s1_ses1,trial_19_neu_7_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[8914.78804132],[0],3,[1],0,2.5310936900732486
VTA_p2_t1_s1_ses1,trial_21_los_8_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[8941.10414434],[0],2,[1],0,1.504673499339333
VTA_p2_t1_s1_ses1,trial_22_neu_9_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[8951.10392654],[0],3,[1],0,0.8688652956461738
VTA_p2_t1_s1_ses1,trial_23_neu_10_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[8962.37031676],[0],3,[2],0,1.0274885006056138
VTA_p2_t1_s1_ses1,trial_24_neu_11_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[8972.37013811],[0],3,[2],0,1.5093787381829316
VTA_p2_t1_s1_ses1,trial_25_los_9_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[8989.88640565],[0],2,[2],-1,1.7494597632430668
VTA_p2_t1_s1_ses1,trial_26_neu_12_f2_f1_acum_r5_l3_task_1_sess_1,Picture,[9007.41936285],[0],3,[1],0,1.3616104433986038
VTA_p2_t1_s1_ses1,trial_27_neu_13_f1_f2_acum_r5_l3_task_1_sess_1,Picture,[9022.43572865],[0],3,[1],0,1.7019046742989303
VTA_p2_t1_s1_ses1,trial_28_los_10_f2_f1_acum_r5_l3_task_1_sess_1,Picture,[9032.41884703],[0],2,[1],0,2.0171385716312216
VTA_p2_t1_s1_ses1,trial_29_rew_6_f2_f1_acum_r5_l3_task_1_sess_1,Picture,[9046.18519259],[0],1,[2],1,0.9998184956548357
