Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_s5_session1_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_3_sess_1,Picture,[7750.18646088],[0],3,[1],0,0.4866922536857601
VTA_s5_session1_ses1,trial_4_neu_3_f1_f2_acum_r0_l0_task_3_sess_1,Picture,[7765.18202832],[0],3,[1],0,0.5134955246794561
VTA_s5_session1_ses1,trial_5_neu_4_f1_f2_acum_r0_l0_task_3_sess_1,Picture,[7770.16398867],[0],3,[2],0,0.7935454798052888
VTA_s5_session1_ses1,trial_6_los_1_f2_f1_acum_r0_l0_task_3_sess_1,Picture,[7775.17925155],[0],2,[1],-1,0.6044368910743287
VTA_s5_session1_ses1,trial_8_los_2_f1_f2_acum_r0_l1_task_3_sess_1,Picture,[7785.176379],[0],2,[1],0,0.48598599416618526
VTA_s5_session1_ses1,trial_9_los_3_f1_f2_acum_r0_l1_task_3_sess_1,Picture,[7790.15823634],[0],2,[2],0,0.47296504699625075
VTA_s5_session1_ses1,trial_10_los_4_f2_f1_acum_r0_l1_task_3_sess_1,Picture,[7795.17353648],[0],2,[1],0,0.525425152646676
VTA_s5_session1_ses1,trial_11_los_5_f1_f2_acum_r0_l1_task_3_sess_1,Picture,[7800.17197229],[0],2,[1],0,0.8439884885019637
VTA_s5_session1_ses1,trial_12_rew_3_f1_f2_acum_r0_l1_task_3_sess_1,Picture,[7805.18740015],[0],1,[1],1,0.6083061137069308
VTA_s5_session1_ses1,trial_13_neu_5_f2_f1_acum_r1_l1_task_3_sess_1,Picture,[7810.16913737],[0],3,[2],0,0.7963779301890099
VTA_s5_session1_ses1,trial_14_los_6_f1_f2_acum_r1_l1_task_3_sess_1,Picture,[7815.16762184],[0],2,[2],0,0.9317488361721189
VTA_s5_session1_ses1,trial_16_rew_4_f2_f1_acum_r1_l1_task_3_sess_1,Picture,[7825.16475803],[0],1,[2],1,0.9215373422375706
VTA_s5_session1_ses1,trial_17_neu_6_f1_f2_acum_r2_l1_task_3_sess_1,Picture,[7830.18013799],[0],3,[2],0,0.9353991107518596
VTA_s5_session1_ses1,trial_18_rew_5_f1_f2_acum_r2_l1_task_3_sess_1,Picture,[7835.17854834],[0],1,[1],1,0.7134228460890881
VTA_s5_session1_ses1,trial_19_neu_7_f1_f2_acum_r3_l1_task_3_sess_1,Picture,[7840.1771305],[0],3,[2],0,0.7042637092463337
VTA_s5_session1_ses1,trial_20_neu_8_f1_f2_acum_r3_l1_task_3_sess_1,Picture,[7845.17582175],[0],3,[1],0,0.4883157382982972
VTA_s5_session1_ses1,trial_21_los_8_f2_f1_acum_r3_l1_task_3_sess_1,Picture,[7850.17439821],[0],2,[2],0,0.9689677245478379
VTA_s5_session1_ses1,trial_22_neu_9_f1_f2_acum_r3_l1_task_3_sess_1,Picture,[7855.17293969],[0],3,[2],0,0.7513877163310099
VTA_s5_session1_ses1,trial_23_neu_10_f1_f2_acum_r3_l1_task_3_sess_1,Picture,[7860.17138083],[0],3,[2],0,0.7950918004335108
VTA_s5_session1_ses1,trial_24_neu_11_f2_f1_acum_r3_l1_task_3_sess_1,Picture,[7865.16991585],[0],3,[2],0,1.0776788541415954
VTA_s5_session1_ses1,trial_25_los_9_f2_f1_acum_r3_l1_task_3_sess_1,Picture,[7870.16847977],[0],2,[1],0,0.7307976665306342
VTA_s5_session1_ses1,trial_26_neu_12_f2_f1_acum_r3_l1_task_3_sess_1,Picture,[7875.1837628],[0],3,[1],0,0.718536765596582
VTA_s5_session1_ses1,trial_27_neu_13_f1_f2_acum_r3_l1_task_3_sess_1,Picture,[7880.16561672],[0],3,[2],0,0.7302423139162784
VTA_s5_session1_ses1,trial_28_los_10_f2_f1_acum_r3_l1_task_3_sess_1,Picture,[7885.16416162],[0],2,[2],-1,0.8291948603464334
VTA_s5_session1_ses1,trial_29_rew_6_f2_f1_acum_r3_l2_task_3_sess_1,Picture,[7890.17941044],[0],1,[2],1,0.6908246321127081
VTA_s5_session1_ses1,trial_30_los_11_f1_f2_acum_r4_l2_task_3_sess_1,Picture,[7895.17792722],[0],2,[2],0,0.7801339612378797
VTA_s5_session1_ses1,trial_31_neu_14_f2_f1_acum_r4_l2_task_3_sess_1,Picture,[7900.15983322],[0],3,[1],0,0.789475934910115
VTA_s5_session1_ses1,trial_32_los_12_f2_f1_acum_r4_l2_task_3_sess_1,Picture,[7905.17507178],[0],2,[1],-1,0.768496073949791
VTA_s5_session1_ses1,trial_33_rew_7_f2_f1_acum_r4_l3_task_3_sess_1,Picture,[7910.17372958],[0],1,[2],1,0.9288418826345151
VTA_s5_session1_ses1,trial_34_rew_8_f1_f2_acum_r5_l3_task_3_sess_1,Picture,[7915.15559794],[0],1,[1],1,0.9079684547559737
VTA_s5_session1_ses1,trial_35_rew_9_f1_f2_acum_r6_l3_task_3_sess_1,Picture,[7920.170781],[0],1,[1],0,0.47125375509222067
VTA_s5_session1_ses1,trial_36_los_13_f1_f2_acum_r6_l3_task_3_sess_1,Picture,[7925.16934225],[0],2,[2],-1,1.0242159968165652
VTA_s5_session1_ses1,trial_37_los_14_f1_f2_acum_r6_l4_task_3_sess_1,Picture,[7930.18456675],[0],2,[1],0,0.7819758237255883
VTA_s5_session1_ses1,trial_38_rew_10_f2_f1_acum_r6_l4_task_3_sess_1,Picture,[7935.16661643],[0],1,[2],0,0.6303396621733555
VTA_s5_session1_ses1,trial_40_los_15_f2_f1_acum_r6_l4_task_3_sess_1,Picture,[7945.18023036],[0],2,[1],-1,0.856387752441151
VTA_s5_session1_ses1,trial_41_neu_16_f2_f1_acum_r6_l5_task_3_sess_1,Picture,[7950.17892427],[0],3,[2],0,0.8125952908676481
VTA_s5_session1_ses1,trial_42_rew_11_f1_f2_acum_r6_l5_task_3_sess_1,Picture,[7955.16074208],[0],1,[1],1,0.5839831136318026
VTA_s5_session1_ses1,trial_43_neu_17_f2_f1_acum_r7_l5_task_3_sess_1,Picture,[7960.17608403],[0],3,[2],0,0.6376968489339561
VTA_s5_session1_ses1,trial_44_los_16_f2_f1_acum_r7_l5_task_3_sess_1,Picture,[7965.17462932],[0],2,[2],-1,0.5332253671085709
VTA_s5_session1_ses1,trial_45_neu_18_f2_f1_acum_r7_l6_task_3_sess_1,Picture,[7970.17321262],[0],3,[2],0,0.9899272491884403
VTA_s5_session1_ses1,trial_46_neu_19_f2_f1_acum_r7_l6_task_3_sess_1,Picture,[7975.17175563],[0],3,[2],0,0.5054835844084664
VTA_s5_session1_ses1,trial_47_rew_12_f1_f2_acum_r7_l6_task_3_sess_1,Picture,[7980.17033778],[0],1,[1],0,0.43657842730590346
VTA_s5_session1_ses1,trial_48_rew_13_f2_f1_acum_r7_l6_task_3_sess_1,Picture,[7985.18553643],[0],1,[2],0,0.5951741720364225
VTA_s5_session1_ses1,trial_49_rew_14_f2_f1_acum_r7_l6_task_3_sess_1,Picture,[7990.16743368],[0],1,[2],1,0.6910177321315132
VTA_s5_session1_ses1,trial_50_los_17_f2_f1_acum_r8_l6_task_3_sess_1,Picture,[7995.16587254],[0],2,[1],0,0.7351960136256821
VTA_s5_session1_ses1,trial_51_rew_15_f2_f1_acum_r8_l6_task_3_sess_1,Picture,[8000.18120422],[0],1,[2],1,1.3006396248083547
VTA_s5_session1_ses1,trial_52_rew_16_f2_f1_acum_r9_l6_task_3_sess_1,Picture,[8005.17978258],[0],1,[2],1,0.45890105562648387
VTA_s5_session1_ses1,trial_53_rew_17_f2_f1_acum_r10_l6_task_3_sess_1,Picture,[8010.16167869],[0],1,[2],1,0.43963666786839894
VTA_s5_session1_ses1,trial_54_rew_18_f1_f2_acum_r11_l6_task_3_sess_1,Picture,[8015.17682488],[0],1,[2],0,0.4163072966339314
VTA_s5_session1_ses1,trial_55_los_18_f2_f1_acum_r11_l6_task_3_sess_1,Picture,[8020.17547926],[0],2,[1],0,0.74409457947786
VTA_s5_session1_ses1,trial_56_los_19_f1_f2_acum_r11_l6_task_3_sess_1,Picture,[8025.17387935],[0],2,[1],-1,0.5239592270072535
VTA_s5_session1_ses1,trial_57_neu_20_f2_f1_acum_r11_l7_task_3_sess_1,Picture,[8030.17260329],[0],3,[2],0,0.7462019544909708
VTA_s5_session1_ses1,trial_58_rew_19_f1_f2_acum_r11_l7_task_3_sess_1,Picture,[8035.17103416],[0],1,[1],1,0.6033313174402792
VTA_s5_session1_ses1,trial_60_rew_20_f1_f2_acum_r12_l7_task_3_sess_1,Picture,[8045.16815857],[0],1,[1],0,0.5210828729786954
VTA_s5_session1_ses1,trial_61_neu_21_f1_f2_acum_r12_l7_task_3_sess_1,Picture,[8050.1668426],[0],3,[1],0,1.006402710090697
VTA_s5_session1_ses1,trial_62_neu_22_f2_f1_acum_r12_l7_task_3_sess_1,Picture,[8055.18191086],[0],3,[2],0,0.6095836908034471
VTA_s5_session1_ses1,trial_63_rew_21_f1_f2_acum_r12_l7_task_3_sess_1,Picture,[8060.16387996],[0],1,[1],1,0.47103309650628944
VTA_s5_session1_ses1,trial_64_neu_23_f1_f2_acum_r13_l7_task_3_sess_1,Picture,[8065.17903717],[0],3,[1],0,0.7086280357652868
VTA_s5_session1_ses1,trial_65_neu_24_f1_f2_acum_r13_l7_task_3_sess_1,Picture,[8070.1777174],[0],3,[2],0,1.0296961601607109
VTA_s5_session1_ses1,trial_67_rew_22_f2_f1_acum_r13_l7_task_3_sess_1,Picture,[8080.17475172],[0],1,[2],1,0.698341278436601
VTA_s5_session1_ses1,trial_68_los_22_f1_f2_acum_r14_l7_task_3_sess_1,Picture,[8085.17325139],[0],2,[1],0,0.7663763450964325
VTA_s5_session1_ses1,trial_69_los_23_f1_f2_acum_r14_l7_task_3_sess_1,Picture,[8090.17187308],[0],2,[2],0,0.8389680780583149
VTA_s5_session1_ses1,trial_70_los_24_f2_f1_acum_r14_l7_task_3_sess_1,Picture,[8095.1871124],[0],2,[1],0,1.3643848681049349
VTA_s5_session1_ses1,trial_71_los_25_f1_f2_acum_r14_l7_task_3_sess_1,Picture,[8100.16901687],[0],2,[2],-1,0.6472374343384217
VTA_s5_session1_ses1,trial_72_rew_23_f1_f2_acum_r14_l8_task_3_sess_1,Picture,[8105.16756026],[0],1,[1],1,0.514745353150829
VTA_s5_session1_ses1,trial_73_neu_25_f2_f1_acum_r15_l8_task_3_sess_1,Picture,[8110.18278361],[0],3,[2],0,0.6827328670306088
VTA_s5_session1_ses1,trial_74_los_26_f1_f2_acum_r15_l8_task_3_sess_1,Picture,[8115.16479414],[0],2,[1],-1,1.1712358135155228
VTA_s5_session1_ses1,trial_75_los_27_f1_f2_acum_r15_l9_task_3_sess_1,Picture,[8120.17994983],[0],2,[2],0,0.5541569530632842
VTA_s5_session1_ses1,trial_76_rew_24_f2_f1_acum_r15_l9_task_3_sess_1,Picture,[8125.17840883],[0],1,[2],1,0.8019755500408792
VTA_s5_session1_ses1,trial_77_neu_26_f1_f2_acum_r16_l9_task_3_sess_1,Picture,[8130.17716129],[0],3,[2],0,0.7663630409597317
VTA_s5_session1_ses1,trial_78_rew_25_f1_f2_acum_r16_l9_task_3_sess_1,Picture,[8135.15893158],[0],1,[1],1,0.5856696978553373
VTA_s5_session1_ses1,trial_79_neu_27_f1_f2_acum_r17_l9_task_3_sess_1,Picture,[8140.17412262],[0],3,[2],0,0.9008260347482064
VTA_s5_session1_ses1,trial_80_neu_28_f1_f2_acum_r17_l9_task_3_sess_1,Picture,[8145.17268805],[0],3,[2],0,0.5631017032710588
VTA_s5_session1_ses1,trial_81_los_28_f2_f1_acum_r17_l9_task_3_sess_1,Picture,[8150.18790913],[0],2,[2],0,0.8485071429904565
VTA_s5_session1_ses1,trial_82_neu_29_f1_f2_acum_r17_l9_task_3_sess_1,Picture,[8155.16997401],[0],3,[1],0,0.6732610830094927
VTA_s5_session1_ses1,trial_83_neu_30_f1_f2_acum_r17_l9_task_3_sess_1,Picture,[8160.16857556],[0],3,[1],0,0.7332545601821039
VTA_s5_session1_ses1,trial_84_neu_31_f2_f1_acum_r17_l9_task_3_sess_1,Picture,[8165.18375519],[0],3,[2],0,0.7590832082432826
VTA_s5_session1_ses1,trial_85_los_29_f2_f1_acum_r17_l9_task_3_sess_1,Picture,[8170.16553271],[0],2,[2],-1,0.47876146863927715
VTA_s5_session1_ses1,trial_86_neu_32_f2_f1_acum_r17_l10_task_3_sess_1,Picture,[8175.18072147],[0],3,[2],0,0.619452508228278
VTA_s5_session1_ses1,trial_87_neu_33_f1_f2_acum_r17_l10_task_3_sess_1,Picture,[8180.17926714],[0],3,[1],0,0.6781305865488321
VTA_s5_session1_ses1,trial_88_los_30_f2_f1_acum_r17_l10_task_3_sess_1,Picture,[8185.17800401],[0],2,[1],0,0.4733605599294606
