Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_LN_VTA14_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_3_sess_1,Picture,[7272.1387435],[0],3,[2],0,1.03567975
VTA_LN_VTA14_ses1,trial_2_neu_2_f2_f1_acum_r0_l0_task_3_sess_1,Picture,[7277.1385866],[0],3,[2],0,1.45448375
VTA_LN_VTA14_ses1,trial_3_rew_1_f1_f2_acum_r0_l0_task_3_sess_1,Picture,[7282.1373048],[0],1,[2],0,1.128599
VTA_LN_VTA14_ses1,trial_5_neu_4_f1_f2_acum_r0_l0_task_3_sess_1,Picture,[7292.138135],[0],3,[1],0,1.07810535
VTA_LN_VTA14_ses1,trial_6_los_1_f2_f1_acum_r0_l0_task_3_sess_1,Picture,[7297.1380152],[0],2,[1],-1,1.2679341
VTA_LN_VTA14_ses1,trial_7_rew_2_f2_f1_acum_r0_l1_task_3_sess_1,Picture,[7302.1372503],[0],1,[1],1,1.4427945
VTA_LN_VTA14_ses1,trial_9_los_3_f1_f2_acum_r1_l1_task_3_sess_1,Picture,[7312.1379693],[0],2,[1],-1,0.6942285
VTA_LN_VTA14_ses1,trial_10_los_4_f2_f1_acum_r1_l2_task_3_sess_1,Picture,[7317.1380981],[0],2,[2],-1,1.2329826
VTA_LN_VTA14_ses1,trial_11_los_5_f1_f2_acum_r1_l3_task_3_sess_1,Picture,[7322.1379986],[0],2,[2],-1,1.0250544
VTA_LN_VTA14_ses1,trial_13_neu_5_f2_f1_acum_r1_l4_task_3_sess_1,Picture,[7332.1387055],[0],3,[2],0,1.43523545
VTA_LN_VTA14_ses1,trial_14_los_6_f1_f2_acum_r1_l4_task_3_sess_1,Picture,[7337.138594],[0],2,[2],0,1.09444515
VTA_LN_VTA14_ses1,trial_16_rew_4_f2_f1_acum_r1_l4_task_3_sess_1,Picture,[7347.1374423],[0],1,[2],1,1.35369515
VTA_LN_VTA14_ses1,trial_18_rew_5_f1_f2_acum_r2_l4_task_3_sess_1,Picture,[7357.1377533],[0],1,[1],1,1.05937865
VTA_LN_VTA14_ses1,trial_19_neu_7_f1_f2_acum_r3_l4_task_3_sess_1,Picture,[7362.1386667],[0],3,[1],0,1.1902052
VTA_LN_VTA14_ses1,trial_20_neu_8_f1_f2_acum_r3_l4_task_3_sess_1,Picture,[7367.1384546],[0],3,[1],0,1.2016019
VTA_LN_VTA14_ses1,trial_21_los_8_f2_f1_acum_r3_l4_task_3_sess_1,Picture,[7372.1380231],[0],2,[1],0,1.129964
VTA_LN_VTA14_ses1,trial_22_neu_9_f1_f2_acum_r3_l4_task_3_sess_1,Picture,[7377.1385085],[0],3,[2],0,1.46545525
VTA_LN_VTA14_ses1,trial_23_neu_10_f1_f2_acum_r3_l4_task_3_sess_1,Picture,[7382.1385535],[0],3,[2],0,1.17938305
VTA_LN_VTA14_ses1,trial_24_neu_11_f2_f1_acum_r3_l4_task_3_sess_1,Picture,[7387.1384379],[0],3,[1],0,1.19866815
VTA_LN_VTA14_ses1,trial_27_neu_13_f1_f2_acum_r3_l4_task_3_sess_1,Picture,[7402.1383297],[0],3,[2],0,0.9995471
VTA_LN_VTA14_ses1,trial_28_los_10_f2_f1_acum_r3_l4_task_3_sess_1,Picture,[7407.1382432],[0],2,[1],0,1.04152685
VTA_LN_VTA14_ses1,trial_29_rew_6_f2_f1_acum_r3_l4_task_3_sess_1,Picture,[7412.137553],[0],1,[2],1,1.30438145
VTA_LN_VTA14_ses1,trial_33_rew_7_f2_f1_acum_r4_l4_task_3_sess_1,Picture,[7432.1378075],[0],1,[1],0,1.240918
VTA_LN_VTA14_ses1,trial_34_rew_8_f1_f2_acum_r4_l4_task_3_sess_1,Picture,[7437.1374411],[0],1,[1],1,1.08245895
VTA_LN_VTA14_ses1,trial_35_rew_9_f1_f2_acum_r5_l4_task_3_sess_1,Picture,[7442.1374404],[0],1,[1],0,0.89528895
VTA_LN_VTA14_ses1,trial_36_los_13_f1_f2_acum_r5_l4_task_3_sess_1,Picture,[7447.1381284],[0],2,[1],-1,1.05179795
VTA_LN_VTA14_ses1,trial_37_los_14_f1_f2_acum_r5_l5_task_3_sess_1,Picture,[7452.1382184],[0],2,[2],0,0.80458205
VTA_LN_VTA14_ses1,trial_39_neu_15_f1_f2_acum_r5_l5_task_3_sess_1,Picture,[7462.1386462],[0],3,[1],0,1.03603285
VTA_LN_VTA14_ses1,trial_40_los_15_f2_f1_acum_r5_l5_task_3_sess_1,Picture,[7467.1382717],[0],2,[2],0,1.218557
VTA_LN_VTA14_ses1,trial_41_neu_16_f2_f1_acum_r5_l5_task_3_sess_1,Picture,[7472.13851],[0],3,[2],0,1.2177338
VTA_LN_VTA14_ses1,trial_42_rew_11_f1_f2_acum_r5_l5_task_3_sess_1,Picture,[7477.1374738],[0],1,[2],0,1.4523569
VTA_LN_VTA14_ses1,trial_44_los_16_f2_f1_acum_r5_l5_task_3_sess_1,Picture,[7487.1382181],[0],2,[1],0,0.5035936
VTA_LN_VTA14_ses1,trial_46_neu_19_f2_f1_acum_r5_l5_task_3_sess_1,Picture,[7497.1386016],[0],3,[2],0,0.69724395
