Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_s6_session1_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[10971.92480778],[0],3,[1],0,1.1905377970015252
VTA_s6_session1_ses1,trial_2_neu_2_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[10976.90664111],[0],3,[2],0,0.904544747869295
VTA_s6_session1_ses1,trial_4_neu_3_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[10986.92042881],[0],3,[1],0,0.9198979682987556
VTA_s6_session1_ses1,trial_5_neu_4_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[10991.91902844],[0],3,[2],0,0.7554076763626654
VTA_s6_session1_ses1,trial_7_rew_2_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[11001.9162224],[0],1,[2],1,1.3884377502836287
VTA_s6_session1_ses1,trial_8_los_2_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[11006.91476274],[0],2,[1],0,0.9189301838141546
VTA_s6_session1_ses1,trial_10_los_4_f2_f1_acum_r1_l0_task_1_sess_1,Picture,[11016.91193503],[0],2,[2],-1,0.870488503092929
VTA_s6_session1_ses1,trial_12_rew_3_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[11026.92577025],[0],1,[1],1,0.9608220238260401
VTA_s6_session1_ses1,trial_13_neu_5_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[11031.90766211],[0],3,[2],0,1.113513403586694
VTA_s6_session1_ses1,trial_14_los_6_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[11036.90628798],[0],2,[1],-1,0.9127642638923135
VTA_s6_session1_ses1,trial_16_rew_4_f2_f1_acum_r2_l2_task_1_sess_1,Picture,[11046.92008024],[0],1,[2],1,1.0356658611926832
VTA_s6_session1_ses1,trial_17_neu_6_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[11051.90198464],[0],3,[2],0,1.0956312475027516
VTA_s6_session1_ses1,trial_18_rew_5_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[11056.91726849],[0],1,[1],1,0.8158250248707191
VTA_s6_session1_ses1,trial_19_neu_7_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[11061.9158267],[0],3,[2],0,0.9772089794896601
VTA_s6_session1_ses1,trial_20_neu_8_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[11066.89772236],[0],3,[1],0,1.248106909395574
VTA_s6_session1_ses1,trial_21_los_8_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[11071.91319171],[0],2,[2],0,1.0134689676051494
VTA_s6_session1_ses1,trial_22_neu_9_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[11076.91174003],[0],3,[2],0,1.1970650205967104
VTA_s6_session1_ses1,trial_23_neu_10_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[11081.92687411],[0],3,[1],0,1.1665748677860392
VTA_s6_session1_ses1,trial_24_neu_11_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[11086.9087713],[0],3,[2],0,1.0937163950511604
VTA_s6_session1_ses1,trial_25_los_9_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[11091.90729377],[0],2,[1],0,1.0663346702149283
VTA_s6_session1_ses1,trial_26_neu_12_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[11096.90592534],[0],3,[1],0,0.9857438047147298
VTA_s6_session1_ses1,trial_28_los_10_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[11106.90302351],[0],2,[2],-1,1.0626621447645448
VTA_s6_session1_ses1,trial_30_los_11_f1_f2_acum_r4_l3_task_1_sess_1,Picture,[11116.916861],[0],2,[1],-1,1.1027113550462673
VTA_s6_session1_ses1,trial_31_neu_14_f2_f1_acum_r4_l4_task_1_sess_1,Picture,[11121.89889275],[0],3,[2],0,0.7967931970742939
VTA_s6_session1_ses1,trial_32_los_12_f2_f1_acum_r4_l4_task_1_sess_1,Picture,[11126.91406218],[0],2,[2],-1,1.0027640396219795
VTA_s6_session1_ses1,trial_33_rew_7_f2_f1_acum_r4_l5_task_1_sess_1,Picture,[11131.9126029],[0],1,[2],1,0.9691506341732747
VTA_s6_session1_ses1,trial_34_rew_8_f1_f2_acum_r5_l5_task_1_sess_1,Picture,[11136.91135649],[0],1,[1],1,1.0463006571135338
VTA_s6_session1_ses1,trial_35_rew_9_f1_f2_acum_r6_l5_task_1_sess_1,Picture,[11141.90980408],[0],1,[1],0,0.8527353976114682
VTA_s6_session1_ses1,trial_36_los_13_f1_f2_acum_r6_l5_task_1_sess_1,Picture,[11146.90841094],[0],2,[1],-1,1.0513575781205873
VTA_s6_session1_ses1,trial_39_neu_15_f1_f2_acum_r6_l6_task_1_sess_1,Picture,[11161.90410419],[0],3,[2],0,1.1021149474054255
VTA_s6_session1_ses1,trial_40_los_15_f2_f1_acum_r6_l6_task_1_sess_1,Picture,[11166.90266011],[0],2,[2],0,1.074623558064559
VTA_s6_session1_ses1,trial_41_neu_16_f2_f1_acum_r6_l6_task_1_sess_1,Picture,[11171.91789455],[0],3,[1],0,0.8225563726846303
VTA_s6_session1_ses1,trial_42_rew_11_f1_f2_acum_r6_l6_task_1_sess_1,Picture,[11176.89985635],[0],1,[1],1,0.9288554865142942
VTA_s6_session1_ses1,trial_43_neu_17_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[11181.91521052],[0],3,[1],0,1.1642074829578632
VTA_s6_session1_ses1,trial_44_los_16_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[11186.91374744],[0],2,[1],0,1.0405312019265693
VTA_s6_session1_ses1,trial_45_neu_18_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[11191.91223305],[0],3,[1],0,1.306836336847482
VTA_s6_session1_ses1,trial_46_neu_19_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[11196.910884],[0],3,[1],0,1.0134011162590468
VTA_s6_session1_ses1,trial_47_rew_12_f1_f2_acum_r7_l6_task_1_sess_1,Picture,[11201.90943499],[0],1,[1],0,0.872871282763299
VTA_s6_session1_ses1,trial_48_rew_13_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[11206.92477433],[0],1,[2],0,0.9824692644779134
VTA_s6_session1_ses1,trial_49_rew_14_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[11211.90654266],[0],1,[2],1,1.210786957793971
VTA_s6_session1_ses1,trial_52_rew_16_f2_f1_acum_r8_l6_task_1_sess_1,Picture,[11226.91896611],[0],1,[2],1,0.5771243648669042
VTA_s6_session1_ses1,trial_53_rew_17_f2_f1_acum_r9_l6_task_1_sess_1,Picture,[11231.90098151],[0],1,[2],1,1.107862925833615
VTA_s6_session1_ses1,trial_55_los_18_f2_f1_acum_r10_l6_task_1_sess_1,Picture,[11241.91474602],[0],2,[1],0,1.410971049712316
VTA_s6_session1_ses1,trial_56_los_19_f1_f2_acum_r10_l6_task_1_sess_1,Picture,[11246.93011995],[0],2,[2],-1,1.1922985109558795
VTA_s6_session1_ses1,trial_57_neu_20_f2_f1_acum_r10_l7_task_1_sess_1,Picture,[11251.91188068],[0],3,[1],0,1.3564921195520583
VTA_s6_session1_ses1,trial_59_los_20_f1_f2_acum_r10_l7_task_1_sess_1,Picture,[11261.92567408],[0],2,[2],0,1.0237778109767532
VTA_s6_session1_ses1,trial_60_rew_20_f1_f2_acum_r10_l7_task_1_sess_1,Picture,[11266.90763284],[0],1,[1],0,0.9119485272458405
VTA_s6_session1_ses1,trial_61_neu_21_f1_f2_acum_r10_l7_task_1_sess_1,Picture,[11271.90621233],[0],3,[2],0,1.334891823666112
VTA_s6_session1_ses1,trial_63_rew_21_f1_f2_acum_r10_l7_task_1_sess_1,Picture,[11281.92000725],[0],1,[1],1,1.133589800023401
VTA_s6_session1_ses1,trial_65_neu_24_f1_f2_acum_r11_l7_task_1_sess_1,Picture,[11291.90051016],[0],3,[1],0,0.8884345192673209
VTA_s6_session1_ses1,trial_66_los_21_f2_f1_acum_r11_l7_task_1_sess_1,Picture,[11296.91580921],[0],2,[1],-1,0.9182341848409123
VTA_s6_session1_ses1,trial_67_rew_22_f2_f1_acum_r11_l8_task_1_sess_1,Picture,[11301.91438566],[0],1,[2],1,0.8996341729034611
