Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_s7_sess1_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_2_sess_1,Picture,[11985.63752603],[0],3,[2],0,0.8367765571383643
VTA_s7_sess1_ses1,trial_2_neu_2_f2_f1_acum_r0_l0_task_2_sess_1,Picture,[11990.63592726],[0],3,[2],0,0.5339968777225295
VTA_s7_sess1_ses1,trial_3_rew_1_f1_f2_acum_r0_l0_task_2_sess_1,Picture,[11995.6512912],[0],1,[1],1,0.3387058394673659
VTA_s7_sess1_ses1,trial_4_neu_3_f1_f2_acum_r1_l0_task_2_sess_1,Picture,[12000.63299808],[0],3,[2],0,0.7716481214065425
VTA_s7_sess1_ses1,trial_5_neu_4_f1_f2_acum_r1_l0_task_2_sess_1,Picture,[12005.63157074],[0],3,[2],0,0.6587587821213674
VTA_s7_sess1_ses1,trial_6_los_1_f2_f1_acum_r1_l0_task_2_sess_1,Picture,[12010.64677731],[0],2,[1],-1,0.7107631184935599
VTA_s7_sess1_ses1,trial_7_rew_2_f2_f1_acum_r1_l1_task_2_sess_1,Picture,[12015.64531462],[0],1,[1],1,0.743309470872191
VTA_s7_sess1_ses1,trial_8_los_2_f1_f2_acum_r2_l1_task_2_sess_1,Picture,[12020.64383331],[0],2,[2],0,0.8116683284097235
VTA_s7_sess1_ses1,trial_9_los_3_f1_f2_acum_r2_l1_task_2_sess_1,Picture,[12025.64240255],[0],2,[2],0,0.9718348727437842
VTA_s7_sess1_ses1,trial_10_los_4_f2_f1_acum_r2_l1_task_2_sess_1,Picture,[12030.64090185],[0],2,[1],0,0.6452853555110778
VTA_s7_sess1_ses1,trial_11_los_5_f1_f2_acum_r2_l1_task_2_sess_1,Picture,[12035.63949048],[0],2,[1],0,0.8743834031920414
VTA_s7_sess1_ses1,trial_12_rew_3_f1_f2_acum_r2_l1_task_2_sess_1,Picture,[12040.63797153],[0],1,[1],1,0.8734853774822113
VTA_s7_sess1_ses1,trial_18_rew_5_f1_f2_acum_r3_l1_task_2_sess_1,Picture,[12070.64590875],[0],1,[1],1,1.1561726581294351
VTA_s7_sess1_ses1,trial_19_neu_7_f1_f2_acum_r4_l1_task_2_sess_1,Picture,[12075.64448825],[0],3,[2],0,1.1204329453230457
VTA_s7_sess1_ses1,trial_20_neu_8_f1_f2_acum_r4_l1_task_2_sess_1,Picture,[12080.64298679],[0],3,[1],0,0.6457017733591783
VTA_s7_sess1_ses1,trial_21_los_8_f2_f1_acum_r4_l1_task_2_sess_1,Picture,[12085.64157428],[0],2,[1],0,0.7936127849970944
VTA_s7_sess1_ses1,trial_22_neu_9_f1_f2_acum_r4_l1_task_2_sess_1,Picture,[12090.640096],[0],3,[2],0,0.994579155691099
VTA_s7_sess1_ses1,trial_23_neu_10_f1_f2_acum_r4_l1_task_2_sess_1,Picture,[12095.6386679],[0],3,[1],0,0.970257008306362
VTA_s7_sess1_ses1,trial_24_neu_11_f2_f1_acum_r4_l1_task_2_sess_1,Picture,[12100.63717861],[0],3,[2],0,1.0381468018313171
VTA_s7_sess1_ses1,trial_25_los_9_f2_f1_acum_r4_l1_task_2_sess_1,Picture,[12105.65241482],[0],2,[1],0,1.136879074614626
VTA_s7_sess1_ses1,trial_26_neu_12_f2_f1_acum_r4_l1_task_2_sess_1,Picture,[12110.63426273],[0],3,[1],0,1.3518774534149998
VTA_s7_sess1_ses1,trial_27_neu_13_f1_f2_acum_r4_l1_task_2_sess_1,Picture,[12115.63283045],[0],3,[2],0,0.9087902367791685
VTA_s7_sess1_ses1,trial_28_los_10_f2_f1_acum_r4_l1_task_2_sess_1,Picture,[12120.64805299],[0],2,[1],0,0.5649716375919525
VTA_s7_sess1_ses1,trial_29_rew_6_f2_f1_acum_r4_l1_task_2_sess_1,Picture,[12125.64658459],[0],1,[2],1,0.6161429482071981
VTA_s7_sess1_ses1,trial_30_los_11_f1_f2_acum_r5_l1_task_2_sess_1,Picture,[12130.64511734],[0],2,[2],0,1.3226348853622767
VTA_s7_sess1_ses1,trial_31_neu_14_f2_f1_acum_r5_l1_task_2_sess_1,Picture,[12135.64363641],[0],3,[1],0,0.48998506521638774
VTA_s7_sess1_ses1,trial_32_los_12_f2_f1_acum_r5_l1_task_2_sess_1,Picture,[12140.6421798],[0],2,[1],-1,0.47943663663681946
VTA_s7_sess1_ses1,trial_33_rew_7_f2_f1_acum_r5_l2_task_2_sess_1,Picture,[12145.64088779],[0],1,[2],1,0.644205253896871
VTA_s7_sess1_ses1,trial_34_rew_8_f1_f2_acum_r6_l2_task_2_sess_1,Picture,[12150.63926621],[0],1,[1],1,0.7266386926112318
VTA_s7_sess1_ses1,trial_35_rew_9_f1_f2_acum_r7_l2_task_2_sess_1,Picture,[12155.63783697],[0],1,[1],0,0.5654941080010758
VTA_s7_sess1_ses1,trial_36_los_13_f1_f2_acum_r7_l2_task_2_sess_1,Picture,[12160.6531074],[0],2,[2],-1,0.8192605893873406
VTA_s7_sess1_ses1,trial_42_rew_11_f1_f2_acum_r7_l3_task_2_sess_1,Picture,[12190.6442731],[0],1,[1],1,0.8772152726342028
VTA_s7_sess1_ses1,trial_43_neu_17_f2_f1_acum_r8_l3_task_2_sess_1,Picture,[12195.64284235],[0],3,[2],0,1.0614808358477603
VTA_s7_sess1_ses1,trial_44_los_16_f2_f1_acum_r8_l3_task_2_sess_1,Picture,[12200.64135799],[0],2,[1],0,0.3807174778794433
VTA_s7_sess1_ses1,trial_45_neu_18_f2_f1_acum_r8_l3_task_2_sess_1,Picture,[12205.64005799],[0],3,[2],0,0.4875536487215868
VTA_s7_sess1_ses1,trial_46_neu_19_f2_f1_acum_r8_l3_task_2_sess_1,Picture,[12210.63844325],[0],3,[2],0,0.8482441079067939
VTA_s7_sess1_ses1,trial_47_rew_12_f1_f2_acum_r8_l3_task_2_sess_1,Picture,[12215.65367415],[0],1,[2],1,0.82964955900934
VTA_s7_sess1_ses1,trial_48_rew_13_f2_f1_acum_r9_l3_task_2_sess_1,Picture,[12220.63552928],[0],1,[1],0,0.4675023025556584
VTA_s7_sess1_ses1,trial_49_rew_14_f2_f1_acum_r9_l3_task_2_sess_1,Picture,[12225.65076132],[0],1,[1],1,0.7255718950837036
VTA_s7_sess1_ses1,trial_50_los_17_f2_f1_acum_r10_l3_task_2_sess_1,Picture,[12230.64929635],[0],2,[1],0,0.9764010246435646
VTA_s7_sess1_ses1,trial_51_rew_15_f2_f1_acum_r10_l3_task_2_sess_1,Picture,[12235.63119405],[0],1,[1],1,1.024532732037187
VTA_s7_sess1_ses1,trial_52_rew_16_f2_f1_acum_r11_l3_task_2_sess_1,Picture,[12240.62972452],[0],1,[2],1,1.0084503744346875
VTA_s7_sess1_ses1,trial_53_rew_17_f2_f1_acum_r12_l3_task_2_sess_1,Picture,[12245.64492919],[0],1,[2],1,0.6529047948297375
VTA_s7_sess1_ses1,trial_54_rew_18_f1_f2_acum_r13_l3_task_2_sess_1,Picture,[12250.64344673],[0],1,[1],0,0.5800738642774377
VTA_s7_sess1_ses1,trial_55_los_18_f2_f1_acum_r13_l3_task_2_sess_1,Picture,[12255.6419791],[0],2,[1],0,1.0057570575336285
VTA_s7_sess1_ses1,trial_56_los_19_f1_f2_acum_r13_l3_task_2_sess_1,Picture,[12260.64051223],[0],2,[2],-1,0.9654166022046411
VTA_s7_sess1_ses1,trial_57_neu_20_f2_f1_acum_r13_l4_task_2_sess_1,Picture,[12265.63905904],[0],3,[1],0,1.3115913547771925
VTA_s7_sess1_ses1,trial_64_neu_23_f1_f2_acum_r13_l4_task_2_sess_1,Picture,[12300.64555182],[0],3,[1],0,0.6041291697383713
VTA_s7_sess1_ses1,trial_65_neu_24_f1_f2_acum_r13_l4_task_2_sess_1,Picture,[12305.64410547],[0],3,[1],0,0.552104307063928
VTA_s7_sess1_ses1,trial_66_los_21_f2_f1_acum_r13_l4_task_2_sess_1,Picture,[12310.64262226],[0],2,[2],-1,0.9983677788768546
VTA_s7_sess1_ses1,trial_67_rew_22_f2_f1_acum_r13_l5_task_2_sess_1,Picture,[12315.64119378],[0],1,[2],1,0.7542788787013706
VTA_s7_sess1_ses1,trial_68_los_22_f1_f2_acum_r14_l5_task_2_sess_1,Picture,[12320.6397079],[0],2,[1],0,1.092162905853911
VTA_s7_sess1_ses1,trial_69_los_23_f1_f2_acum_r14_l5_task_2_sess_1,Picture,[12325.65491143],[0],2,[2],0,1.0998693919009384
VTA_s7_sess1_ses1,trial_70_los_24_f2_f1_acum_r14_l5_task_2_sess_1,Picture,[12330.63679469],[0],2,[2],-1,1.051899994336054
VTA_s7_sess1_ses1,trial_71_los_25_f1_f2_acum_r14_l6_task_2_sess_1,Picture,[12335.63536317],[0],2,[1],0,0.8074912259562552
VTA_s7_sess1_ses1,trial_72_rew_23_f1_f2_acum_r14_l6_task_2_sess_1,Picture,[12340.6505914],[0],1,[1],1,1.068983769397164
VTA_s7_sess1_ses1,trial_73_neu_25_f2_f1_acum_r15_l6_task_2_sess_1,Picture,[12345.63244957],[0],3,[2],0,1.3227833209348319
VTA_s7_sess1_ses1,trial_74_los_26_f1_f2_acum_r15_l6_task_2_sess_1,Picture,[12350.64765272],[0],2,[1],-1,0.5272790752205765
VTA_s7_sess1_ses1,trial_75_los_27_f1_f2_acum_r15_l7_task_2_sess_1,Picture,[12355.64619688],[0],2,[2],0,0.7237467647319136
VTA_s7_sess1_ses1,trial_76_rew_24_f2_f1_acum_r15_l7_task_2_sess_1,Picture,[12360.64471214],[0],1,[2],1,1.1126924388318002
VTA_s7_sess1_ses1,trial_77_neu_26_f1_f2_acum_r16_l7_task_2_sess_1,Picture,[12365.62658818],[0],3,[1],0,0.975331376237591
VTA_s7_sess1_ses1,trial_78_rew_25_f1_f2_acum_r16_l7_task_2_sess_1,Picture,[12370.6417689],[0],1,[1],1,0.8972375398698205
VTA_s7_sess1_ses1,trial_79_neu_27_f1_f2_acum_r17_l7_task_2_sess_1,Picture,[12375.64036741],[0],3,[1],0,1.4813457727814239
VTA_s7_sess1_ses1,trial_80_neu_28_f1_f2_acum_r17_l7_task_2_sess_1,Picture,[12380.63886785],[0],3,[2],0,1.0324049489681784
VTA_s7_sess1_ses1,trial_81_los_28_f2_f1_acum_r17_l7_task_2_sess_1,Picture,[12385.63758115],[0],2,[2],0,1.0915507279059966
VTA_s7_sess1_ses1,trial_82_neu_29_f1_f2_acum_r17_l7_task_2_sess_1,Picture,[12390.63596147],[0],3,[1],0,0.6170727136650385
VTA_s7_sess1_ses1,trial_83_neu_30_f1_f2_acum_r17_l7_task_2_sess_1,Picture,[12395.65120757],[0],3,[2],0,0.3350272600673634
VTA_s7_sess1_ses1,trial_84_neu_31_f2_f1_acum_r17_l7_task_2_sess_1,Picture,[12400.63307981],[0],3,[2],0,0.5133388652975555
VTA_s7_sess1_ses1,trial_85_los_29_f2_f1_acum_r17_l7_task_2_sess_1,Picture,[12405.64824304],[0],2,[1],0,0.40138594351265056
