Subject,Code,,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen
LN_VTA_1,trial_43_neu_17_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7375.99863689],[0],3,2,0,0.868815217,f2_f1,,
LN_VTA_1,trial_44_los_16_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7387.26846745],[0],2,1,0,1.120390337,f2_f1,,0
LN_VTA_1,trial_45_neu_18_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7397.25639599],[0],3,1,0,1.088363171,f2_f1,,
LN_VTA_1,trial_46_neu_19_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7409.77475709],[0],3,2,0,1.022653037,f2_f1,,
LN_VTA_1,trial_47_rew_12_f1_f2_acum_r7_l6_task_1_sess_1,,Picture,[7431.03250479],[0],1,1,0,0.990570563,f1_f2,1,
LN_VTA_1,trial_48_rew_13_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7442.28571955],[0],1,1,0,0.958129257,f2_f1,0,
LN_VTA_1,trial_49_rew_14_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7452.29036499],[0],1,2,1,1.891704308,f2_f1,1,
LN_VTA_1,trial_50_los_17_f2_f1_acum_r8_l6_task_1_sess_1,,Picture,[7471.03455781],[0],2,2,-1,1.412002314,f2_f1,,1
LN_VTA_1,trial_51_rew_15_f2_f1_acum_r8_l7_task_1_sess_1,,Picture,[7481.03915536],[0],1,1,1,1.89384001,f2_f1,0,
LN_VTA_1,trial_52_rew_16_f2_f1_acum_r9_l7_task_1_sess_1,,Picture,[7493.55760655],[0],1,1,0,1.324112582,f2_f1,0,
LN_VTA_1,trial_53_rew_17_f2_f1_acum_r9_l7_task_1_sess_1,,Picture,[7507.30762547],[0],1,1,0,0.727060258,f2_f1,0,
LN_VTA_1,trial_54_rew_18_f1_f2_acum_r9_l7_task_1_sess_1,,Picture,[7518.57756511],[0],1,2,0,1.269759662,f1_f2,0,
LN_VTA_1,trial_56_los_19_f1_f2_acum_r9_l7_task_1_sess_1,,Picture,[7542.33238493],[0],2,2,-1,1.163232096,f1_f2,,0
LN_VTA_1,trial_57_neu_20_f2_f1_acum_r9_l8_task_1_sess_1,,Picture,[7556.09903294],[0],3,2,0,1.158606231,f2_f1,,
LN_VTA_1,trial_58_rew_19_f1_f2_acum_r9_l8_task_1_sess_1,,Picture,[7567.36878405],[0],1,2,0,1.545205343,f1_f2,0,
LN_VTA_1,trial_59_los_20_f1_f2_acum_r9_l8_task_1_sess_1,,Picture,[7578.62193837],[0],2,2,0,1.34155342,f1_f2,,0
LN_VTA_1,trial_60_rew_20_f1_f2_acum_r9_l8_task_1_sess_1,,Picture,[7589.8751615],[0],1,1,0,1.325449843,f1_f2,1,
LN_VTA_1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_2,,Picture,[7693.70055661],[0],3,2,0,2.412544935,f1_f2,,
LN_VTA_1,trial_2_los_1_f2_f1_acum_r0_l0_task_1_sess_2,,Picture,[7707.4505892],[0],2,1,-1,0.545660916,f2_f1,,0
LN_VTA_1,trial_3_los_2_f2_f1_acum_r0_l1_task_1_sess_2,,Picture,[7718.72036426],[0],2,2,0,0.653797148,f2_f1,,1
LN_VTA_1,trial_4_los_3_f1_f2_acum_r0_l1_task_1_sess_2,,Picture,[7731.22208107],[0],2,1,-1,1.695611063,f1_f2,,1
LN_VTA_1,trial_5_rew_1_f1_f2_acum_r0_l2_task_1_sess_2,,Picture,[7747.46916413],[0],1,2,0,1.160283698,f1_f2,0,
LN_VTA_1,trial_6_los_4_f1_f2_acum_r0_l2_task_1_sess_2,,Picture,[7757.47386469],[0],2,2,0,1.241824293,f1_f2,,0
LN_VTA_1,trial_7_los_5_f2_f1_acum_r0_l2_task_1_sess_2,,Picture,[7771.22400562],[0],2,2,0,1.054682294,f2_f1,,1
LN_VTA_1,trial_8_rew_2_f1_f2_acum_r0_l2_task_1_sess_2,,Picture,[7781.22866816],[0],1,1,0,1.158719886,f1_f2,1,
LN_VTA_1,trial_9_neu_2_f2_f1_acum_r0_l2_task_1_sess_2,,Picture,[7798.72430914],[0],3,1,0,0.876560533,f2_f1,,
LN_VTA_1,trial_10_neu_3_f1_f2_acum_r0_l2_task_1_sess_2,,Picture,[7811.24261209],[0],3,2,0,1.055625561,f1_f2,,
LN_VTA_1,trial_11_rew_3_f2_f1_acum_r0_l2_task_1_sess_2,,Picture,[7822.49575539],[0],1,1,0,0.895499422,f2_f1,0,
LN_VTA_1,trial_12_rew_4_f1_f2_acum_r0_l2_task_1_sess_2,,Picture,[7832.48373639],[0],1,2,1,1.452090297,f1_f2,0,
LN_VTA_1,trial_13_rew_5_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[7842.48838982],[0],1,1,0,1.729729267,f2_f1,0,
LN_VTA_1,trial_14_los_6_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[7855.00673002],[0],2,1,0,1.42921641,f2_f1,,0
LN_VTA_1,trial_15_los_7_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[7870.0055315],[0],2,2,0,1.200982723,f2_f1,,1
LN_VTA_1,trial_20_rew_6_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[7935.06059106],[0],1,2,0,2.884371041,f2_f1,1,
LN_VTA_1,trial_22_neu_6_f1_f2_acum_r1_l2_task_1_sess_2,,Picture,[7957.55021513],[0],3,2,0,0.971667406,f1_f2,,
LN_VTA_1,trial_23_los_10_f1_f2_acum_r1_l2_task_1_sess_2,,Picture,[7968.8200244],[0],2,2,0,1.03899989,f1_f2,,0
LN_VTA_1,trial_24_neu_7_f1_f2_acum_r1_l2_task_1_sess_2,,Picture,[7980.07319621],[0],3,2,0,0.986337742,f1_f2,,
LN_VTA_1,trial_25_los_11_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[7998.81738333],[0],2,1,0,1.903635122,f2_f1,,0
LN_VTA_1,trial_26_neu_8_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[8008.82203219],[0],3,2,0,0.772833309,f2_f1,,
LN_VTA_1,trial_27_rew_8_f2_f1_acum_r1_l2_task_1_sess_2,,Picture,[8018.82665786],[0],1,2,1,1.349100884,f2_f1,1,
LN_VTA_1,trial_28_rew_9_f1_f2_acum_r2_l2_task_1_sess_2,,Picture,[8033.8252997],[0],1,1,1,1.448913447,f1_f2,1,
