Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_s9_session1_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[3734.73056963],[0],3,[1],0,0.694046771484409
VTA_s9_session1_ses1,trial_2_neu_2_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[3739.7288823],[0],3,[2],0,0.7838239525676727
VTA_s9_session1_ses1,trial_3_rew_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[3744.74403744],[0],1,[1],1,1.3116173044531934
VTA_s9_session1_ses1,trial_4_neu_3_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[3749.72593414],[0],3,[1],0,0.8593164565336338
VTA_s9_session1_ses1,trial_5_neu_4_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[3754.7410851],[0],3,[1],0,0.8396679933903215
VTA_s9_session1_ses1,trial_6_los_1_f2_f1_acum_r1_l0_task_1_sess_1,Picture,[3759.73956388],[0],2,[1],-1,0.919773938713206
VTA_s9_session1_ses1,trial_7_rew_2_f2_f1_acum_r1_l1_task_1_sess_1,Picture,[3764.7213952],[0],1,[2],1,0.9094034835911771
VTA_s9_session1_ses1,trial_8_los_2_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[3769.73657314],[0],2,[2],0,0.9975258391864372
VTA_s9_session1_ses1,trial_9_los_3_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[3774.73504775],[0],2,[2],0,1.3279230467187517
VTA_s9_session1_ses1,trial_10_los_4_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[3779.73358507],[0],2,[1],0,1.2725798058459077
VTA_s9_session1_ses1,trial_11_los_5_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[3784.73211251],[0],2,[2],-1,0.8503712381561854
VTA_s9_session1_ses1,trial_12_rew_3_f1_f2_acum_r2_l2_task_1_sess_1,Picture,[3789.73054302],[0],1,[1],1,0.72787595061709
VTA_s9_session1_ses1,trial_14_los_6_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[3799.74434229],[0],2,[2],0,0.7089806829958434
VTA_s9_session1_ses1,trial_15_los_7_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[3804.7261318],[0],2,[1],0,0.8595876677395609
VTA_s9_session1_ses1,trial_16_rew_4_f2_f1_acum_r3_l2_task_1_sess_1,Picture,[3809.74141579],[0],1,[2],1,0.7424734614037334
VTA_s9_session1_ses1,trial_17_neu_6_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[3814.73980335],[0],3,[1],0,0.7906162063040938
VTA_s9_session1_ses1,trial_18_rew_5_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[3819.7216495],[0],1,[1],1,0.7004148182049903
VTA_s9_session1_ses1,trial_19_neu_7_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[3824.73685329],[0],3,[2],0,1.094565474794308
VTA_s9_session1_ses1,trial_20_neu_8_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[3829.73524465],[0],3,[1],0,0.7607316582730164
VTA_s9_session1_ses1,trial_21_los_8_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[3834.73382226],[0],2,[2],0,0.9289211875820911
VTA_s9_session1_ses1,trial_22_neu_9_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[3839.7323364],[0],3,[1],0,0.6241822326442161
VTA_s9_session1_ses1,trial_23_neu_10_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[3844.73081366],[0],3,[2],0,0.9310161848661664
VTA_s9_session1_ses1,trial_24_neu_11_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[3849.72934794],[0],3,[2],0,0.8062995121999847
VTA_s9_session1_ses1,trial_25_los_9_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[3854.74463232],[0],2,[1],0,0.8629839846648792
VTA_s9_session1_ses1,trial_26_neu_12_f2_f1_acum_r5_l2_task_1_sess_1,Picture,[3859.72628803],[0],3,[2],0,0.869823182456912
VTA_s9_session1_ses1,trial_27_neu_13_f1_f2_acum_r5_l2_task_1_sess_1,Picture,[3864.74151576],[0],3,[1],0,0.9093652821529759
