Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time
VTA_LN_VTA13_ses1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[246019.0980403],[0],3,[1],0,0.8931500999606214
VTA_LN_VTA13_ses1,trial_2_neu_2_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[246024.0979915],[0],3,[1],0,0.9925286000070628
VTA_LN_VTA13_ses1,trial_3_rew_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[246029.0985629],[0],1,[2],0,1.3930509999918286
VTA_LN_VTA13_ses1,trial_4_neu_3_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[246034.0977924],[0],3,[1],0,1.3998936499992851
VTA_LN_VTA13_ses1,trial_6_los_1_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[246044.0974308],[0],2,[1],-1,0.8450640500232112
VTA_LN_VTA13_ses1,trial_7_rew_2_f2_f1_acum_r0_l1_task_1_sess_1,Picture,[246049.0986089],[0],1,[2],1,0.8254843000031542
VTA_LN_VTA13_ses1,trial_8_los_2_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[246054.097131],[0],2,[2],0,1.0634709000296425
VTA_LN_VTA13_ses1,trial_9_los_3_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[246059.0973633],[0],2,[2],0,1.3542006499774288
VTA_LN_VTA13_ses1,trial_10_los_4_f2_f1_acum_r1_l1_task_1_sess_1,Picture,[246064.0974997],[0],2,[1],0,0.8890154499968048
VTA_LN_VTA13_ses1,trial_11_los_5_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[246069.0972539],[0],2,[1],0,1.4612500500224996
VTA_LN_VTA13_ses1,trial_13_neu_5_f2_f1_acum_r1_l1_task_1_sess_1,Picture,[246079.0979342],[0],3,[1],0,1.0245956500002649
VTA_LN_VTA13_ses1,trial_14_los_6_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[246084.097652],[0],2,[2],0,0.9767823000147473
VTA_LN_VTA13_ses1,trial_15_los_7_f1_f2_acum_r1_l1_task_1_sess_1,Picture,[246089.0979719],[0],2,[1],0,1.0726138500322122
VTA_LN_VTA13_ses1,trial_16_rew_4_f2_f1_acum_r1_l1_task_1_sess_1,Picture,[246094.0985603],[0],1,[2],1,1.0251628000114579
VTA_LN_VTA13_ses1,trial_17_neu_6_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[246099.0980001],[0],3,[1],0,1.0845332500175573
VTA_LN_VTA13_ses1,trial_19_neu_7_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[246109.0981137],[0],3,[1],0,1.2575057499925606
VTA_LN_VTA13_ses1,trial_20_neu_8_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[246114.1095303],[0],3,[2],0,0.9657887000066694
VTA_LN_VTA13_ses1,trial_21_los_8_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[246119.1091706],[0],2,[1],0,1.4173711500188801
VTA_LN_VTA13_ses1,trial_23_neu_10_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[246129.1095538],[0],3,[2],0,0.887888550030766
VTA_LN_VTA13_ses1,trial_24_neu_11_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[246134.1048362],[0],3,[2],0,1.3415365499968175
VTA_LN_VTA13_ses1,trial_25_los_9_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[246139.1084612],[0],2,[1],0,0.9909127499850001
VTA_LN_VTA13_ses1,trial_27_neu_13_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[246149.1070102],[0],3,[1],0,1.0304213000054006
VTA_LN_VTA13_ses1,trial_28_los_10_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[246154.1177413],[0],2,[2],-1,1.0266195999865886
VTA_LN_VTA13_ses1,trial_29_rew_6_f2_f1_acum_r2_l2_task_1_sess_1,Picture,[246159.1103489],[0],1,[2],1,1.4440678999817465
VTA_LN_VTA13_ses1,trial_30_los_11_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[246164.1091065],[0],2,[2],0,1.4081910499953665
VTA_LN_VTA13_ses1,trial_35_rew_9_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[246189.1099742],[0],1,[1],0,0.8253786000132095
VTA_LN_VTA13_ses1,trial_36_los_13_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[246194.1088547],[0],2,[2],-1,0.8709506000159308
VTA_LN_VTA13_ses1,trial_37_los_14_f1_f2_acum_r3_l3_task_1_sess_1,Picture,[246199.1096529],[0],2,[2],0,0.8936306499817874
